call_number,title,author,status,language,location,category
c17-6_30816_70588_SP_kr_1,외국문학연구 제34호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_89586_70588_SP_kr_1,외국문학연구 제35호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_30805_70588_SP_kr_1,외국문학연구 제36호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_32783_70588_SP_kr_1,외국문학연구 제38호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_32783_70588_SP_kr_2,외국문학연구 제38호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,어학
c17-6_39702_70588_L_kr_1,외국문학연구 Foreign Literature Studies 제 40호,한국외국어대학교 외국학종합연구센터 외국문학연구소,AVAILABLE,KR,C17-6,문학
c17-7_47187_20103_L_de_1,TEXT+KRITIK,Friedlich Gott Klopstock,AVAILABLE,DE,C17-7,문학
c17-7_47187_36958_L_de_1,TEXT+KRITIK,Friedlich DurrenmattⅡ,AVAILABLE,DE,C17-7,문학
c17-7_47187_32745_L_de_1,TEXT+KRITIK,Peter Handke,AVAILABLE,DE,C17-7,문학
c17-7_47187_87382_L_de_1,TEXT+KRITIK,Gunter Grass,AVAILABLE,DE,C17-7,문학
c17-7_70677_22111_L_en_1,Deustche Metrik,"Otto Paul, Ingeborg Glier",AVAILABLE,EN,C17-7,문학
c17-7_61299_12496_L_de_1,Die deutsche Novelle zwischen Klassik und Romantik,Josef Kunz,AVAILABLE,DE,C17-7,문학
c17-7_24834_40589_L_de_1,Interpretationen von 66 Balladen Moritaten Chansons,Edgar Neis,AVAILABLE,DE,C17-7,문학
c17-7_00528_90296_L_de_1,Die Wand Roman,Marlen Haushofer,AVAILABLE,DE,C17-7,문학
c17-7_27430_00643_L_de_1,Interpretationen1 Deustche Lyrik von Weckherlin bis Berlin,Jost Schillemeit,AVAILABLE,DE,C17-7,문학
c17-7_85017_34992_SP_de_1,Die schriftlich Form germanitischer Arbeiten,Georg Bangen,AVAILABLE,DE,C17-7,어학
c17-7_25521_03733_L_de_1,Goethe erzählt sein Leben,"Hans Egon Gerlach, Otto Hermann",AVAILABLE,DE,C17-7,문학
c17-7_94236_74611_L_en_1,Novelle,Benno von Wiese,AVAILABLE,EN,C17-7,문학
c17-7_57151_72523_L_de_1,Wege der deutschen Literatur,"Glaser, Lehmann, Lubos",AVAILABLE,DE,C17-7,문학
c17-7_01613_44577_L_de_1,Das moderne Drama,Marget Dietrich,AVAILABLE,DE,C17-7,문학
c17-7_69790_72038_L_de_2,Deutsche Literaturgeschichte,Fritz Martini,AVAILABLE,DE,C17-7,문학
c17-7_43934_45507_L_de_1,"Wie unfair, David! Satiren",Ephraim Kishon,AVAILABLE,DE,C17-7,문학
c8-6_88299_79462_G_de_1,dtt-Atlas zur Weltgeschichte - Karten und chronologischer Abriss - Band 1 - Von den Anfängen bis zur Französischen Revolution,"Hermann Kinder, Werner Hilgemann",AVAILABLE,DE,C8-6,역사
c8-6_18727_79462_G_de_1,dtt-Atlas zur Weltgeschichte - Karten und chronologischer Abriss - Band 2 - Von der Französischen Revolution bis zur Gegenwart,"Hermann Kinder, Werner Hilgemann",AVAILABLE,DE,C8-6,역사
c8-6_52218_64995_G_de_1,HIRTS STICHWORTBÜCHER - GESCHICHTE ÖSTERREICHS IN STICHWORTEN - I - Von der Urzeit bis 1282,"Erich Scheithauer, Herbert Schmeiszer, Grete Woratschek",AVAILABLE,DE,C8-6,역사
c8-6_61193_64995_G_de_1,HIRTS STICHWORTBÜCHER - GESCHICHTE ÖSTERREICHS IN STICHWORTEN - II - Von 1282 bis zum Westfälischen Frieden,"Erich Scheithauer, Herbert Schmeiszer, Grete Woratschek",AVAILABLE,DE,C8-6,역사
